,screen_name,stance,med
452,Jmarksloan,-1,False
453,ACPinternists,1,True
454,RonnRonnVigh,0,False
455,AllenElledge2,1,False
456,intermediatePEG,1,False
457,IrieJon,-1,False
458,rmchavin,0,False
459,SciSolutions,-1,False
460,spokanetom,0,False
461,Amir_Ahmed_Toor,1,False
462,drchapichapo,1,False
463,IDSE_Online,-1,False
464,Andrea_51544005,1,False
466,Contmanest,-1,False
468,TheRealLynetteL,1,False
469,unlikelymds,1,False
470,TheRealLynetteL,1,False
471,TheRealLynetteL,1,False
472,hhask,0,False
473,dchometownboy,-1,False
474,FranciscoMarty_,0,True
475,AlyeskaDawn,1,False
476,Unfreakin,-1,False
478,FranciscoMarty_,1,True
480,AKJoyste,1,False
481,c8dave,0,False
482,BumpItMcCarthy,1,False
483,AFCaptainStraw,1,True
484,okayshane_,0,False
486,iamangela1967,-1,False
487,Karen49434003,1,False
488,chuck_hooper,1,False
489,irazoqui_javier,1,False
490,__ice9,0,True
491,rachel99marta,1,False
492,fpizart,-1,False
493,Unfreakin,-1,False
495,dcexaminer,1,False
496,MissMaryPrep,0,False
498,PEK40,1,False
499,samharva,0,False
500,JohnRossMD,-1,False
502,rachel99marta,1,False
503,TheRealLynetteL,1,False
505,FranciscoMarty_,1,True
506,MACKabiVIPer42,1,False
507,Micheleone_elle,0,False
508,FranciscoMarty_,-1,True
509,WynnWs,-1,False
510,abushoyeb,-1,True
511,catsmeow29,1,False
512,francesco212,0,False
513,Unfreakin,-1,False
514,UVA,0,False
515,JaredMilrad,1,False
516,projo,1,False
517,anthonydellomes,-1,False
518,JeffGuidry3,1,False
519,ClinicalOMICs,0,False
520,Contagion_Live,1,False
521,RonnRonnVigh,0,False
522,ftlpaul8,1,False
523,Dan_Donovan_17,-1,False
524,joelcan,1,False
525,hopemaga,1,False
526,joelcan,1,False
527,fpizart,0,False
528,virginianpilot,1,False
529,RITreasury,1,False
530,KristenThometz,1,False
531,thubtenpematen1,-1,False
532,biorxivpreprint,0,False
533,jackpall3,1,False
534,MichaelAlbertMD,-1,False
535,mcall,1,False
537,sweepsgal1961,1,False
538,orlandosentinel,1,False
539,jrboulder,0,False
540,gramdb1L,0,False
541,DavidBegnaud,1,False
542,ShohamTxID,0,True
543,kittensdog,1,False
544,doritmi,0,False
545,Daily_Press,1,False
546,stevedpsi,0,False
547,Trinity4Freedom,0,False
549,lizzybsknees,0,False
550,MicheleRoberts9,1,False
551,abushoyeb,1,True
553,TheObGProject,0,False
554,Burnesgroup,1,False
555,mrjoshuaco,-1,False
556,BeckJenLawMac,0,False
557,MaralynBurstein,1,False
558,triciajobrien,1,False
559,AgBioWorld,1,False
560,kittensdog,1,False
562,kyungai,0,False
563,AFCaptainStraw,1,True
564,meredithllee,1,False
565,EdCurry412,0,False
567,kidneystories,0,False
568,MasayoQuick,0,False
569,AFCaptainStraw,1,True
570,tweetyburgh,-1,True
571,BrownUResearch,0,False
572,ACPinternists,0,True
573,JorgensenWL,0,False
574,julietast2,-1,False
575,BenHussong,0,False
576,SG_PharmD19,0,False
577,KeerlLinda,1,False
578,medicalbag,0,True
579,JohnFeehery,1,False
580,Jordanfabian,0,False
581,AMcA32449832,-1,True
583,Lynniepenny,1,False
584,ibrahimgarcia6,1,False
585,DenverWestword,1,False
586,DoctorElliottBG,0,True
587,mkmiller63,1,False
588,Medscape,1,False
589,ddtd_org,1,False
591,JOsteoMed,1,False
592,plattMSP,-1,False
594,shaskell12,1,False
595,MyBrigitte,1,False
596,Rx_Ed,1,False
597,ColdFury1,1,False
599,jamwelbo,1,False
600,Rwill235,1,False
601,SCCM,0,False
602,ScotsFyre,1,False
603,MDedgeCardio,0,False
604,noozgurl,1,False
606,EricBoodman,0,False
607,medpagetoday,-1,False
608,Tekweenie,-1,False
609,BillyMikeKY,0,False
610,FranciscoMarty_,1,True
611,ColemanCarrie,1,False
612,Lanaro_Mario,1,False
613,ChaseZiolek,0,False
614,kittensdog,0,False
616,ScottBiering,1,False
618,justinbirtwell,0,False
619,carrie_byington,0,True
621,WMCActionNews5,-1,False
622,atscommunity,0,False
623,NewslineCO,1,False
624,michaelkdeford,-1,True
625,BrianSkorney,-1,False
626,SenatorZero,-1,False
627,l_lefauxpas,-1,False
628,Seaord1,1,False
629,EganBennett,-1,False
630,biorxivpreprint,1,False
631,ConanMacDougall,-1,False
632,ssfarouk,0,False
633,FredNatLab,1,False
634,ScottBudinger,1,False
635,mjwingler,1,False
636,federallabs,1,False
637,sfbionetwork,0,False
638,SusanBalkus,1,False
639,AFCaptainStraw,1,True
641,RCScience,0,False
642,JPOrtega86,1,True
643,hfarash,0,False
644,Rosenite777,1,False
645,tammytabby,1,False
646,Golfguruu03_MS,1,False
647,DrMelChen,1,False
648,MedscapeNurses,0,True
649,stevedpsi,-1,False
650,iu77bu81,1,False
651,MarkEstanoRN,0,True
652,MustweSuffer,-1,False
653,AFCaptainStraw,1,True
654,BU_CTSI,1,False
655,rmchavin,0,False
656,AFCaptainStraw,1,True
657,kittensdog,-1,False
658,Cathey_Thomas,-1,False
659,mandysue_3,-1,False
660,WDTN,1,False
661,__ice9,-1,True
662,ReutersWorld,1,False
663,EBayoubengal,0,False
664,Straticus2,1,False
665,CP_PID,0,False
667,MustweSuffer,-1,False
668,olivier_patti,-1,False
669,gonoles7682,1,False
670,AFCaptainStraw,1,True
671,eMPR,-1,False
672,Sabba801,-1,False
673,jeremyfaust,0,True
674,rmchavin,0,False
675,abc27News,1,False
676,AFCaptainStraw,1,True
677,kittensdog,-1,False
678,DrEmilyRSmith,-1,False
679,Cheers464646,-1,False
680,NoelinSD,-1,False
681,data_nerd,-1,False
683,sharerliners,0,False
684,MatthewBParksSr,0,False
685,AndrewBatesNC,1,False
686,FOX5Atlanta,0,False
687,KLFY,1,False
688,DaisyHatfield16,1,False
689,RumiKhanMD,0,True
691,MustweSuffer,-1,False
692,BradGeyer,1,False
693,MustweSuffer,-1,False
694,JWatch,1,True
695,LizSzabo,1,False
696,CIDRAP,1,False
697,AFCaptainStraw,1,True
698,BradGeyer,-1,False
700,AFCaptainStraw,1,True
701,seth38582378,0,False
702,BradGeyer,0,False
703,AFCaptainStraw,1,True
704,adela_buzescu,1,False
705,WebsterWebski,-1,False
706,RealMaryz,1,False
707,MustweSuffer,-1,False
708,MustweSuffer,-1,False
709,Kidneys1st,1,True
710,edgarvlermamd,0,False
711,edgarvlermamd,0,False
712,porcelainchaos,0,False
713,richeady,1,False
714,DavidSt63077202,-1,False
715,ScottMauck2,-1,False
716,edgarvlermamd,0,False
717,DorothyPS,-1,False
718,LydiaLinker,1,False
720,katiehasedits,-1,False
721,NYTScience,-1,False
723,Rx_Ed,-1,False
724,UNMC_IM,1,False
725,AlexLig54053788,1,False
726,edgarvlermamd,1,False
727,HitmixH,-1,False
728,edgarvlermamd,0,False
730,SaraRC1,0,True
731,40ozhomie,1,False
732,NephroGnome,1,True
733,jaykoyner,1,False
734,jesscataldi,0,True
735,covid19litrep,1,False
736,BabyBeanDoc,0,False
737,KellyAnneTV,-1,False
738,semartin,1,False
739,DavidBegnaud,-1,False
740,rubinw1218,-1,False
741,Leopardmermaid2,-1,False
742,behaviorben,1,False
743,barbiebrox,1,False
744,ccsainc,1,True
745,michaellevine2,-1,False
746,rooster_29,1,False
747,KariDen,1,False
748,KRIS6News,1,False
749,ASPGuruPharmD,0,False
750,MayukuD,-1,False
751,edgarvlermamd,0,False
752,IDSE_Online,-1,False
753,BioHealthInnov,0,True
754,MedicalLetter,0,False
756,kellytechnology,1,False
757,MicroBioConsult,1,False
758,jonst0kes,0,False
759,NebraskaMed,1,False
760,Surgeon_General,1,True
761,BradGeyer,0,False
762,Contagion_Live,1,False
763,ConquerCovid_19,1,False
764,ddeenniissee59,-1,False
765,HealioRheum,1,False
766,medicalbag,0,True
767,DavidBegnaud,1,False
768,NoParties2020,1,False
769,tokitaeII,0,False
770,alacilento1,1,False
771,soumya_goblue,-1,False
772,CathyFlynn1213,0,False
773,Boghuma,-1,True
774,IrieJon,1,False
775,__ice9,1,True
776,sickoftrash64,-1,False
777,CALgreenlaw,1,False
778,vijmn,1,False
779,kxly4news,1,False
780,jess_meisner,0,False
781,roywlewis,-1,False
782,DrJLi,1,True
783,kenyonfarrow,1,False
784,gradam1,-1,False
785,tena_golden,1,False
786,Eliz_Hightower,-1,False
787,KaydeeKing,1,False
788,FranciscoMarty_,0,True
789,malama00,-1,True
790,KarenSchuldt1,-1,False
791,NYTScience,-1,False
792,SpecialtyPharm,0,False
793,RAC_Medical,0,False
794,FenixRising73,0,False
795,Writer_Luau,1,False
796,weldeiry,1,True
799,hafftka,1,False
800,PatriotSkyrific,1,True
801,auvius,1,False
802,MaherKXLY,1,False
803,vaccineguru,-1,False
804,VinFromJersey,-1,False
805,MRJWAR,1,False
806,AdrianTNews,0,False
807,walidgellad,0,True
808,Richard37900032,0,False
809,ReidMadelynn,0,False
810,Richard37900032,0,False
811,KaydeeKing,-1,False
812,BioCalifornia,0,False
814,cindymosqueda,1,True
815,MustweSuffer,-1,False
816,JoeBabaian,1,False
817,brewerjason,1,False
818,DCBen5,-1,False
819,BarbJoan1,1,False
820,mitchellhirsch,1,False
821,Minnowsloth1,1,False
822,curtjames,1,False
823,KaplanABC11,1,False
824,jentaub,1,False
825,Jillian_Writes,0,False
826,PlaybookMoney,-1,False
827,acpinternist,0,False
828,LouieDaddy,-1,False
829,MustweSuffer,-1,False
830,BarbJoan1,1,False
831,No1DisTracTsMe,-1,False
832,DueProcess15,1,False
833,DavidBegnaud,1,False
834,MustweSuffer,-1,False
835,CindyB_2018,1,False
837,bethrx,1,False
838,sallyJoy_isfree,0,False
839,travisl_97,0,False
840,FranciscoMarty_,0,True
841,kdjhaveri,0,False
843,WomanSBuzz,-1,False
844,LilyPond2020,1,False
845,Stand4ourFuture,0,False
846,joanndu78165159,0,True
847,LindaLIrwin,-1,False
848,IndianaCTSI,0,False
849,MustweSuffer,-1,False
851,cbracerx,1,False
852,MustweSuffer,-1,False
853,ClinicalOMICs,0,False
854,wrs_willoughby,0,False
855,DavidBegnaud,1,False
856,TonyFauci2,1,False
857,here4younow,1,False
858,buckinjo,-1,False
859,vjhaveri27,0,False
860,cshah621,-1,False
861,acphospitalist,0,False
862,Prubenm1234,0,True
863,MayaSmi60344239,-1,False
864,putnamcobrapuma,-1,False
866,MustweSuffer,-1,False
867,MustweSuffer,-1,False
868,kater1960,-1,False
869,DoriaYoung6,1,False
870,staceyNYCDC,1,False
871,JLBarrow,1,False
872,clairelaluna,-1,False
873,DebWinkleblack,-1,False
874,SanvilleRobert,-1,False
875,DKBmed,0,False
876,UVA,0,False
877,KaydeeKing,1,False
878,EmoryOTT,1,False
879,AFCaptainStraw,1,True
880,MarthaBueno18,1,False
881,AFCaptainStraw,1,True
882,JoeBabaian,1,False
883,Straticus2,1,False
884,criticalcarema1,1,False
885,hargrovelab,0,False
886,LAWriter,-1,False
887,SCcrnas,1,True
888,Michael_RA,-1,False
889,wrs_willoughby,1,False
890,eMPR,-1,False
892,barbiebrox,-1,False
894,duluth4ever,0,False
895,BradGeyer,0,False
896,ginnyvaet66,-1,False
897,yinzerchemist,0,False
898,JoelKreager,1,False
899,katy_schnapp,0,False
900,WisconsinACP,0,False
901,NEJM,1,False
902,JLG1956,1,False
903,GideonGil,-1,False
904,Vj235,-1,False
905,Levine_Michael,1,False
907,5_2blue,-1,False
908,GrammaYayam164,1,False
909,Darrell57624316,-1,False
910,HuttmanMilek,0,False
911,jos_stephen,1,False
912,ClinicalAdvisor,1,True
913,MolecularMatch,0,False
914,Whipsawedtrader,1,False
915,SumitRa51243775,1,False
916,unewmeb41,1,True
917,ZacharyBrennan,0,False
919,newsfilterio,1,False
920,Mtn_Man_Mike,0,False
921,tampaerdoc,-1,False
922,MoonShotNews,1,False
923,BWalshAdvisor,-1,False
924,ginnyvaet66,1,False
926,cmorten2,1,False
927,sandra4killeen,0,True
928,Jay_see_see,1,True
929,TxID_Edu,-1,False
930,JennyDinVa,1,False
931,cfeinhals1966,-1,False
932,MattNoahSmith,1,False
933,cjsabbagh1,1,False
934,cmorten2,1,False
935,cochise251,1,False
937,SarahSaysHi2U,1,True
938,Safrin,1,False
939,FranciscoMarty_,1,True
940,ginnyvaet66,-1,False
941,kittensdog,0,False
942,cmorten2,0,False
943,misszanette,1,False
944,REVMikeMenkes,-1,False
945,Darrell57624316,-1,False
946,REVMikeMenkes,-1,False
947,AllenElledge3,1,False
948,Safrin,1,False
949,EmmesCRO,0,False
950,KennyFields10,1,False
951,TomToirac,1,False
952,MagnoliaG2012,0,False
953,acpinternist,0,False
954,cmorten2,0,False
955,FUWithTheChzWiz,0,False
956,soumya_goblue,1,False
957,TonyFauci2,-1,False
961,TomToirac,1,False
962,cmorten2,-1,False
963,MicheleRoberts9,-1,False
964,rmpbs,1,False
965,TonyFauci2,0,False
966,Nithus46,0,False
967,art_lover10,1,False
969,acphospitalist,0,False
971,TurbulentMystic,0,False
972,SCCR_Stanford,1,False
974,EmoryDeptofMed,1,False
975,Progressive_MD,1,False
976,JamieAnnetteHe2,1,False
977,DonDonDJ4,1,False
978,moore_wjustin,0,False
979,Bottom2thatop,0,False
980,FOX5Atlanta,0,False
982,DukeLaw,0,False
983,Lisa_Phila,1,False
984,rabiasquared,1,False
985,fox7austin,0,False
986,walidgellad,0,True
987,peterpham,0,False
988,Teppec,1,False
989,addictiondocMD,-1,False
990,nicmaxreporter,1,False
991,edgarvlermamd,0,False
992,JLaufe,0,False
993,TKrackers,1,False
994,musicoftheminds,-1,False
995,xxrklovexx,1,True
996,DohenyEye,1,False
997,BWB79,1,False
998,lisamjarvis,1,False
999,AcpIndiana,0,True
1000,DrRavilokwani,1,False
1001,kenjstarr,-1,False
1002,farrarpjoy,0,False
1003,prmullen69,1,False
1004,azannaphx,-1,False
1005,thelarsonteam,1,False
1006,DavidStevenson1,-1,False
1007,singermel,1,False
1008,vvalkyri,0,False
1009,JunoBuchanan,-1,False
1010,Hold2LLC,-1,False
1012,molokaicreeper,1,False
1013,julie_justo,1,False
1014,demiro3,1,False
1015,LoulouResists,0,False
1016,mrjimcoughlin,-1,False
1017,kenjstarr,-1,False
1018,DemDawson2,-1,True
1019,dcexaminer,1,False
1020,rmchavin,0,False
1021,NancieLaPier,1,False
1022,barbiebrox,0,False
1023,jmec711,1,False
1024,putnamcobrapuma,1,False
1025,kdjhaveri,1,False
1026,edgarvlermamd,0,False
1027,mskatkat2,1,False
1028,IngrahamAngle,-1,True
1029,ByZen,0,False
1030,TonyFauci2,1,False
1031,Findcancercure,-1,False
1032,Katenac,1,False
1034,JThe0philus,0,True
1036,gayle_gigiangel,-1,False
1037,CynsTreat,1,False
1039,wfaa,0,False
1040,NirDrayman,1,True
1041,DCGreenZone1,-1,True
1042,TexasPat4Trump,-1,False
1044,AnnieDynne,-1,False
1045,ten822,-1,False
1046,Spoiler_Alert_9,-1,False
1047,DCGreenZone1,1,True
1049,ArthurCaplan,0,False
1050,HCREPORT2022,-1,False
1051,Spoiler_Alert_9,-1,False
1052,WTHRcom,1,False
1053,AnnieDynne,-1,False
1054,pablo_diablo412,-1,False
1055,The_Office_87,-1,False
1056,Baric_Lab,1,False
1057,josephlangdon11,-1,False
1058,stanleycupot,-1,False
1059,Spoiler_Alert_9,-1,False
1060,PersecutedAnon,1,False
1061,uihawkgrad,1,False
1062,donniecopeland,-1,False
1063,marilyn_brickel,-1,False
1064,arrowheadpeds,1,True
1066,dburksmlsfd,1,False
1067,Dr_James_L,0,True
1068,JohnPaluskaPR,0,False
1069,RussGooberman,1,False
1070,brettdusek,1,False
1071,Spoiler_Alert_9,-1,False
1072,flshelln,1,False
1073,nbcbayarea,1,False
1074,Kathy05057204,-1,False
1077,coronacentralai,0,False
1078,noptyft,-1,False
1079,Pjkabat,1,False
1081,wjmaggos,1,False
1082,ChrisNorton777,-1,False
1083,debraswank,0,False
1084,feed_stocks,1,False
1085,84RomeoTango,-1,False
1087,aier,0,False
1088,5laurie8,1,False
1089,Jaleaha18,1,False
1090,LDD779,0,False
1091,Spoiler_Alert_9,-1,False
1093,Mononoke__Hime,-1,False
1094,wcnc,-1,False
1096,donniecopeland,-1,False
1097,Aejlex,0,False
1098,Miessy4,0,False
1099,truth_julie,1,False
1100,DoThinkFeel,-1,False
1101,stayymello,-1,False
1102,bastiatsociety,0,False
1103,tellez_rebecca,1,False
1104,SaraDeLzz,1,False
1105,msvegas2010,1,False
1106,KeriCubbyBear,-1,False
