drug,wave,state,average_stance
ivermectin,3,Michigan,0.0233
ivermectin,3,Minnesota,0.0101
ivermectin,3,Mississippi,0.0475
ivermectin,3,Missouri,0.1163
ivermectin,3,Montana,0.1302
ivermectin,3,NC,-0.0226
ivermectin,3,ND,-0.1148
ivermectin,3,NE,-0.1355
ivermectin,3,NH,0.1092
ivermectin,3,NJ,0.0174
ivermectin,3,NM,0.1039
ivermectin,3,NY,0.1474
ivermectin,3,Nebraska,-0.0727
ivermectin,3,Nevada,0.0787
ivermectin,3,New Hampshire,0.137
ivermectin,3,New Jersey,0.0575
ivermectin,3,New Mexico,-0.0646
ivermectin,3,New York,0.0175
ivermectin,3,North Carolina,0.0842
ivermectin,3,North Dakota,0.0875
ivermectin,3,OH,0.0651
ivermectin,3,OK,0.0412
ivermectin,3,OR,-0.0211
ivermectin,3,Ohio,0.0608
ivermectin,3,Oklahoma,0.1248
ivermectin,3,Oregon,0.0077
ivermectin,3,PA,0.0319
ivermectin,3,Pennsylvania,0.0037
ivermectin,3,Rhode Island,-0.0808
ivermectin,3,SC,-0.043
ivermectin,3,SD,0.0
ivermectin,3,South Carolina,0.0979
ivermectin,3,South Dakota,0.0224
ivermectin,3,TN,0.119
ivermectin,3,TX,0.0765
ivermectin,3,Tennessee,0.1219
ivermectin,3,Texas,0.1903
ivermectin,3,UT,0.0069
ivermectin,3,Utah,0.0789
ivermectin,3,VA,0.0044
ivermectin,3,VT,-0.0444
ivermectin,3,Vermont,-0.0049
ivermectin,3,Virginia,0.0803
ivermectin,3,WA,-0.0535
ivermectin,3,WI,-0.0418
ivermectin,3,WY,0.0588
ivermectin,3,Washington,-0.0552
ivermectin,3,West Virginia,0.1305
ivermectin,3,Wisconsin,-0.0532
ivermectin,3,Wyoming,0.1212
molnupiravir,1,California,0.3333
molnupiravir,1,Colorado,0.5
molnupiravir,1,District of Columbia,0.5
molnupiravir,1,Illinois,0.0
molnupiravir,1,Massachusetts,1.0
molnupiravir,1,Michigan,1.0
molnupiravir,1,New Jersey,0.0
molnupiravir,1,New Mexico,-1.0
molnupiravir,1,New York,0.4
molnupiravir,1,North Carolina,0.0
molnupiravir,1,Oregon,1.0
molnupiravir,1,Pennsylvania,0.0
molnupiravir,1,Virginia,-1.0
molnupiravir,1,West Virginia,-1.0
molnupiravir,2,Alabama,1.0
molnupiravir,2,Alaska,1.0
molnupiravir,2,Arizona,0.5
molnupiravir,2,Arkansas,0.5
molnupiravir,2,California,0.5049
molnupiravir,2,Colorado,-0.1667
molnupiravir,2,Connecticut,0.1667
molnupiravir,2,Delaware,0.0
molnupiravir,2,District of Columbia,0.1351
molnupiravir,2,Florida,0.5625
molnupiravir,2,Georgia,0.4722
molnupiravir,2,Hawaii,0.6667
molnupiravir,2,Idaho,1.0
molnupiravir,2,Illinois,0.5
molnupiravir,2,Indiana,0.3333
molnupiravir,2,Kansas,0.0
molnupiravir,2,Kentucky,0.6667
molnupiravir,2,Maine,1.0
molnupiravir,2,Maryland,0.5
molnupiravir,2,Massachusetts,0.4
molnupiravir,2,Michigan,0.75
molnupiravir,2,Minnesota,-0.5
molnupiravir,2,Missouri,0.625
molnupiravir,2,Nebraska,0.5
molnupiravir,2,Nevada,0.4545
molnupiravir,2,New Hampshire,0.0
molnupiravir,2,New Jersey,0.0769
molnupiravir,2,New Mexico,0.0
molnupiravir,2,New York,0.2971
molnupiravir,2,North Carolina,0.4138
molnupiravir,2,Ohio,0.2222
molnupiravir,2,Oklahoma,0.6667
molnupiravir,2,Oregon,0.5
molnupiravir,2,Pennsylvania,0.4815
molnupiravir,2,Rhode Island,1.0
molnupiravir,2,South Carolina,0.0
molnupiravir,2,Tennessee,0.6
molnupiravir,2,Texas,0.4231
molnupiravir,2,Utah,0.2222
molnupiravir,2,Vermont,0.5
molnupiravir,2,Virginia,0.5
molnupiravir,2,Washington,0.4444
molnupiravir,2,West Virginia,-1.0
molnupiravir,2,Wisconsin,0.4
molnupiravir,3,Alabama,0.3947
molnupiravir,3,Alaska,0.5
molnupiravir,3,Arizona,0.1887
molnupiravir,3,Arkansas,0.36
molnupiravir,3,California,0.3754
molnupiravir,3,Colorado,0.0114
molnupiravir,3,Connecticut,0.551
molnupiravir,3,Delaware,0.6364
molnupiravir,3,District of Columbia,0.4427
molnupiravir,3,Florida,0.3397
molnupiravir,3,Georgia,0.4379
molnupiravir,3,Hawaii,0.0303
molnupiravir,3,Idaho,0.4
molnupiravir,3,Illinois,0.4884
molnupiravir,3,Indiana,0.62
molnupiravir,3,Iowa,0.4737
molnupiravir,3,Kansas,0.0
molnupiravir,3,Kentucky,0.3125
molnupiravir,3,Louisiana,0.4865
molnupiravir,3,Maine,0.2778
molnupiravir,3,Maryland,0.325
molnupiravir,3,Massachusetts,0.392
molnupiravir,3,Michigan,0.377
molnupiravir,3,Minnesota,0.2632
molnupiravir,3,Mississippi,0.4444
molnupiravir,3,Missouri,0.4324
molnupiravir,3,Montana,0.2
molnupiravir,3,Nebraska,0.3182
molnupiravir,3,Nevada,0.1695
molnupiravir,3,New Hampshire,0.5
molnupiravir,3,New Jersey,0.7095
molnupiravir,3,New Mexico,0.4545
molnupiravir,3,New York,0.3361
molnupiravir,3,North Carolina,0.619
molnupiravir,3,North Dakota,-1.0
molnupiravir,3,Ohio,0.4524
molnupiravir,3,Oklahoma,0.3333
molnupiravir,3,Oregon,0.6444
molnupiravir,3,Pennsylvania,0.3731
molnupiravir,3,Rhode Island,0.125
molnupiravir,3,South Carolina,0.25
molnupiravir,3,South Dakota,1.0
molnupiravir,3,Tennessee,0.5179
molnupiravir,3,Texas,0.302
molnupiravir,3,Utah,0.2
molnupiravir,3,Vermont,0.3846
molnupiravir,3,Virginia,0.4343
molnupiravir,3,Washington,0.3952
molnupiravir,3,West Virginia,0.6667
molnupiravir,3,Wisconsin,0.4222
molnupiravir,3,Wyoming,0.0
remdesivir,1,Alabama,0.2723
remdesivir,1,Alaska,0.1282
remdesivir,1,Arizona,0.6847
remdesivir,1,Arkansas,0.1786
remdesivir,1,California,0.3145
remdesivir,1,Colorado,0.2857
remdesivir,1,Connecticut,0.2753
remdesivir,1,Delaware,0.2982
remdesivir,1,District of Columbia,0.2485
remdesivir,1,Florida,0.3503
remdesivir,1,Georgia,0.265
remdesivir,1,Hawaii,0.092
remdesivir,1,Idaho,0.2979
remdesivir,1,Illinois,0.2314
remdesivir,1,Indiana,0.2049
remdesivir,1,Iowa,0.2459
remdesivir,1,Kansas,0.2941
remdesivir,1,Kentucky,0.2137
remdesivir,1,Louisiana,0.3786
remdesivir,1,Maine,0.3
remdesivir,1,Maryland,0.3558
remdesivir,1,Massachusetts,0.2584
remdesivir,1,Michigan,0.2836
remdesivir,1,Minnesota,0.3093
remdesivir,1,Mississippi,0.28
remdesivir,1,Missouri,0.2879
remdesivir,1,Montana,0.0833
remdesivir,1,Nebraska,0.1667
remdesivir,1,Nevada,0.3774
remdesivir,1,New Hampshire,0.0
remdesivir,1,New Jersey,0.2857
remdesivir,1,New Mexico,0.0506
remdesivir,1,New York,0.2994
remdesivir,1,North Carolina,0.2652
remdesivir,1,North Dakota,0.4
remdesivir,1,Ohio,0.2852
remdesivir,1,Oklahoma,0.2353
remdesivir,1,Oregon,0.2751
remdesivir,1,Pennsylvania,0.289
remdesivir,1,Rhode Island,0.3111
remdesivir,1,South Carolina,0.2466
remdesivir,1,South Dakota,0.2308
remdesivir,1,Tennessee,0.3665
remdesivir,1,Texas,0.3203
remdesivir,1,Utah,0.2342
remdesivir,1,Vermont,0.3143
remdesivir,1,Virginia,0.2315
remdesivir,1,Washington,0.3333
remdesivir,1,West Virginia,0.3529
remdesivir,1,Wisconsin,0.2086
remdesivir,1,Wyoming,0.5
remdesivir,2,Alabama,0.3333
remdesivir,2,Alaska,0.0968
remdesivir,2,Arizona,-0.0401
remdesivir,2,Arkansas,-0.1489
remdesivir,2,California,0.0154
remdesivir,2,Colorado,0.0646
remdesivir,2,Connecticut,-0.0181
remdesivir,2,Delaware,-0.0135
remdesivir,2,District of Columbia,0.0463
remdesivir,2,Florida,0.0718
remdesivir,2,Georgia,0.151
remdesivir,2,Hawaii,-0.1176
remdesivir,2,Idaho,0.3043
remdesivir,2,Illinois,0.003
remdesivir,2,Indiana,0.1475
remdesivir,2,Iowa,0.0235
remdesivir,2,Kansas,-0.0152
remdesivir,2,Kentucky,0.2188
remdesivir,2,Louisiana,0.1885
remdesivir,2,Maine,-0.25
remdesivir,2,Maryland,0.0246
remdesivir,2,Massachusetts,0.063
remdesivir,2,Michigan,0.1401
remdesivir,2,Minnesota,0.0495
remdesivir,2,Mississippi,0.0263
remdesivir,2,Missouri,0.1111
remdesivir,2,Montana,0.0571
remdesivir,2,Nebraska,0.1071
remdesivir,2,Nevada,0.0186
remdesivir,2,New Hampshire,0.375
remdesivir,2,New Jersey,0.1481
remdesivir,2,New Mexico,-0.0698
remdesivir,2,New York,0.0063
remdesivir,2,North Carolina,-0.0371
remdesivir,2,North Dakota,-0.0909
remdesivir,2,Ohio,0.0191
remdesivir,2,Oklahoma,0.2353
remdesivir,2,Oregon,-0.1202
remdesivir,2,Pennsylvania,0.0925
remdesivir,2,Rhode Island,0.0526
remdesivir,2,South Carolina,0.2034
remdesivir,2,South Dakota,-0.0789
remdesivir,2,Tennessee,0.7642
remdesivir,2,Texas,0.0372
remdesivir,2,Utah,0.0606
remdesivir,2,Vermont,0.0357
remdesivir,2,Virginia,0.0574
remdesivir,2,Washington,-0.0347
remdesivir,2,West Virginia,-0.2381
remdesivir,2,Wisconsin,0.1788
remdesivir,2,Wyoming,0.0
remdesivir,3,Alabama,-0.0455
remdesivir,3,Alaska,-0.7905
remdesivir,3,Arizona,0.0517
remdesivir,3,Arkansas,0.2
remdesivir,3,California,0.1181
remdesivir,3,Colorado,0.2019
remdesivir,3,Connecticut,0.1765
remdesivir,3,Delaware,0.0
remdesivir,3,District of Columbia,0.2407
remdesivir,3,Florida,-0.0111
remdesivir,3,Georgia,0.1456
remdesivir,3,Hawaii,-0.2353
remdesivir,3,Idaho,0.3158
remdesivir,3,Illinois,0.109
remdesivir,3,Indiana,0.1818
remdesivir,3,Iowa,-0.04
remdesivir,3,Kansas,-0.1935
remdesivir,3,Kentucky,0.3333
remdesivir,3,Louisiana,-0.0521
remdesivir,3,Maine,-0.1923
remdesivir,3,Maryland,0.2727
remdesivir,3,Massachusetts,0.0165
remdesivir,3,Michigan,0.0407
remdesivir,3,Minnesota,0.0125
remdesivir,3,Mississippi,0.3333
remdesivir,3,Missouri,-0.1429
remdesivir,3,Montana,0.1538
remdesivir,3,Nebraska,0.0968
remdesivir,3,Nevada,0.1509
remdesivir,3,New Hampshire,0.0303
remdesivir,3,New Jersey,0.0397
remdesivir,3,New Mexico,-0.1364
remdesivir,3,New York,0.0071
remdesivir,3,North Carolina,0.12
remdesivir,3,North Dakota,0.2857
remdesivir,3,Ohio,0.018
remdesivir,3,Oklahoma,-0.0256
remdesivir,3,Oregon,0.2405
remdesivir,3,Pennsylvania,0.1111
remdesivir,3,Rhode Island,-0.2222
remdesivir,3,South Carolina,-0.0508
remdesivir,3,South Dakota,0.6
remdesivir,3,Tennessee,-0.0467
remdesivir,3,Texas,0.0822
remdesivir,3,Utah,-0.4737
remdesivir,3,Vermont,-0.5714
remdesivir,3,Virginia,-0.07
remdesivir,3,Washington,0.4615
remdesivir,3,West Virginia,-0.0968
remdesivir,3,Wisconsin,0.2632
remdesivir,3,Wyoming,0.6
