,twitter_id,screen_name,pred_gender,pred_org,pred_age,political_orientation
1489,1302628875076169735,Theutsavmishra,male,non-org,<=18,neutral
1491,1385205088889630725,GopichandMalla2,male,non-org,<=18,neutral
1493,1274038568,Dipankar_cpiml,male,non-org,>=40,left
1494,1100714720137564165,Kanchan_0794,male,non-org,<=18,left
1497,1217715133033541632,psychiatristo3,male,non-org,>=40,neutral
1511,789553972520579072,JLopicola,male,non-org,19-29,neutral
1512,2205312521,tonyseig,male,non-org,30-39,left
1521,1292863471,nONsToP_aStUr,male,non-org,<=18,neutral
1522,1540038932,Addi_James,male,non-org,30-39,left
1528,117124765,FollowWIN,male,non-org,30-39,left
1529,1242738306498138118,beg4mercy_,female,non-org,<=18,left
1535,1240997788844011522,CLRichardson312,female,non-org,30-39,left
1538,456692341,McDermottMike1,male,non-org,>=40,left
1542,1245799407087489024,Scallywag161,male,non-org,30-39,neutral
1543,213454500,cdydev,male,non-org,<=18,right
1544,738080100,Rana_pipiens,female,non-org,<=18,left
1551,1244983447845834752,DebraFl14379984,female,non-org,30-39,right
1552,27202349,Chaleck,male,non-org,30-39,neutral
1555,533284243,SignalCaller,male,non-org,30-39,left
1566,1273247052,LoveDomine,male,non-org,30-39,right
1569,71562753,ironjustice,male,non-org,>=40,neutral
1579,81896656,CesarVillegasMD,male,non-org,>=40,neutral
1581,2492877258,bronwyn1140,female,non-org,30-39,right
1582,855755368600936448,dalewfinkjr8,male,non-org,30-39,neutral
1583,5548762,StevenLoi,male,non-org,30-39,left
1586,22422258,Ariella09,male,non-org,30-39,left
1587,967106891523424258,natyliesb,female,non-org,30-39,neutral
1590,1080268445860605952,Imatq1,female,non-org,>=40,left
1595,20363950,JohnMcP2009,male,non-org,>=40,neutral
1598,13396002,thejimjams,male,non-org,>=40,right
1599,2926219065,ok_bull,male,non-org,>=40,neutral
1606,1052551710143590400,lastrealhumans,male,non-org,30-39,right
1619,26467168,jc6594,male,non-org,30-39,right
1637,2966496413,leraisonneur,male,non-org,<=18,neutral
1641,759100788224303104,theHighPriestt,male,non-org,>=40,left
1645,1196896072175685637,DennisMasivgeek,male,non-org,30-39,right
1675,709934866549215232,kabuman1000,male,non-org,<=18,neutral
1676,917558555766607873,tawdryaudry,female,non-org,>=40,left
1677,337117233,DrKevinSchwartz,male,non-org,>=40,neutral
1685,1131653613523095552,MommaTea_20,female,non-org,30-39,left
1692,19040859,mksheth,male,non-org,30-39,left
1705,1149407934,patty78962,female,non-org,30-39,right
1710,2353552285,PrivateBrief,male,non-org,>=40,right
1717,1066063301262626819,BillyKane0,male,non-org,>=40,right
1725,1052191553802854407,FooooooMedia,male,non-org,<=18,left
1729,1197116402471243776,YouthouseN,male,non-org,30-39,neutral
1735,3106281846,varietyetc,male,non-org,<=18,left
1742,174124727,nvaidyan,male,non-org,30-39,left
1743,244243072,MPhilipOliver,male,non-org,>=40,right
1746,181039052,mapocoloco,male,non-org,>=40,left
1759,1085632195451146240,pastord830,male,non-org,>=40,right
1763,935650099052527616,PabloHe78730909,male,non-org,30-39,left
1768,324989148,JohnEHult,male,non-org,>=40,right
1776,52282776,leonardkl,male,non-org,30-39,left
1783,343018585,slvrbllt7,male,non-org,<=18,right
1785,309718298,majormarginal,male,non-org,>=40,left
1787,41491575,JonTemple1,male,non-org,30-39,left
1789,1189268268789440514,SophieZamaron,female,non-org,30-39,neutral
1793,818830485593866240,BBuchman_CNS,male,non-org,>=40,left
1805,1232684195631243265,gar55085587,male,non-org,<=18,left
1816,17666591,jbharding,male,non-org,>=40,right
1823,211376476,glassmanamanda,female,non-org,>=40,left
1839,32370847,whytebarry,male,non-org,>=40,left
1852,22121035,Thatbalddude,male,non-org,30-39,left
1857,212450008,DrMilesDC,male,non-org,>=40,right
1870,2838813043,Sabridahlgren,female,non-org,30-39,left
1872,15985456,jennifercdougla,female,non-org,>=40,left
1873,805108424258232321,BagBurlap,male,non-org,30-39,right
1877,804507047718961153,ChadBurkholdee,male,non-org,>=40,right
1884,2541669248,ZouheirAlameh,male,non-org,<=18,neutral
1889,2916787818,Naxca86,male,non-org,30-39,neutral
1891,1378956695603310592,Prakash58093245,male,non-org,<=18,neutral
1895,1046452043953696768,astadigbhandhan,male,non-org,19-29,neutral
1898,1126881272368979968,FOMOfreeMike,male,non-org,>=40,neutral
1902,30129120,vishantgarg,male,non-org,<=18,neutral
1903,4315626628,piyushj11,male,non-org,<=18,neutral
1905,28105692,OnlyTRS,male,non-org,19-29,neutral
1911,1346877048719953923,kadalodi23,male,non-org,<=18,left
1914,789510601093488640,colvirendra1234,male,non-org,>=40,left
1915,140416584,jagadishpichika,male,non-org,<=18,left
1923,1515786548,raghavrrathore,male,non-org,<=18,neutral
1928,2464898187,deeba_ashraf,male,non-org,<=18,neutral
1932,61453726,varunep,female,non-org,>=40,neutral
1934,1291701122789343233,KhambatyM,female,non-org,30-39,neutral
1936,109920630,pqjiggy,male,non-org,<=18,left
1939,1243245347599577089,Rohitzdreamzz,male,non-org,30-39,neutral
1946,624656729,KKarthik589,male,non-org,30-39,left
1951,548154146,Lifeyoulike,male,non-org,>=40,left
1953,123279291,dan_fz14,male,non-org,30-39,neutral
1957,1266999014735699969,spicy_soul_,male,non-org,30-39,neutral
1958,461264546,HeimanW,male,non-org,30-39,neutral
1961,24508524,rrthakur,male,non-org,>=40,neutral
1963,125433319,k2rana,female,non-org,>=40,left
